,JOB,PROP_W,PROP_M
15,bankteller,0.8540757269367547,0.1459242730632452
58,physician,0.3493503167033866,0.6506496832966133
67,doctor,0.3493503167033866,0.6506496832966133
78,laborer,0.1531665499736418,0.8468334500263582
82,conservationist,0.171499127176736,0.8285008728232639
93,cashier,0.7505781522578067,0.2494218477421933
100,proprietor,0.3965806142243148,0.6034193857756852
204,operator,0.3869401159707849,0.6130598840292151
213,bartender,0.6086210012651364,0.3913789987348635
281,mechanic,0.2403771485313102,0.7596228514686898
303,surveyor,0.1327955633980337,0.8672044366019662
319,physicist,0.1174355901737567,0.8825644098262433
335,machinist,0.0469911782089356,0.9530088217910644
346,architect,0.2340945006116753,0.7659054993883246
391,photographer,0.4163213261077462,0.5836786738922537
452,teacher,0.7662355334082016,0.2337644665917983
528,optometrist,0.4220797394600921,0.5779202605399079
580,millwright,0.0089588500278382,0.9910411499721618
605,tradesperson,0.0384599749239715,0.9615400250760284
678,sales,0.4523139131728874,0.5476860868271126
687,upholsterer,0.1633213244124206,0.8366786755875794
741,baker,0.5888010236897516,0.4111989763102484
792,smith,0.0526752625077208,0.9473247374922792
803,manager,0.3965806142243148,0.6034193857756852
805,statistician,0.4204395259750442,0.5795604740249558
828,doorkeeper,0.2547557429028732,0.7452442570971267
837,athlete,0.3945875345631724,0.6054124654368276
875,bailiff,0.2780916124278521,0.7219083875721478
903,dancer,0.8390941992894378,0.1609058007105621
908,nutritionist,0.9114754694344972,0.0885245305655027
913,broker,0.5854170912862076,0.4145829087137924
914,typesetter,0.4374859923798546,0.5625140076201454
925,dietitian,0.9114754694344972,0.0885245305655027
981,author,0.5880301241874616,0.4119698758125384
986,clerk,0.3161872072394278,0.6838127927605722
1062,entertainer,0.5779988474367109,0.4220011525632891
1157,economist,0.5592674958130851,0.4407325041869148
1197,boilermaker,0.0491810716392178,0.9508189283607822
1370,cabinetmaker,0.0762248341673455,0.9237751658326544
1385,official,0.3985049431260838,0.6014950568739161
1482,conductor,0.079656325159963,0.9203436748400368
1498,nurse,0.863329537598627,0.136670462401373
1530,porter,0.2423319857265709,0.7576680142734291
1561,bookbinder,0.4414385284184809,0.558561471581519
1608,chemist,0.4041497010287074,0.5958502989712926
1648,inspector,0.3959005733002002,0.6040994266997998
1654,secretary,0.9391079026545882,0.0608920973454118
1696,clerical,0.6861430886545654,0.3138569113454346
1720,therapist,0.7923894515191016,0.2076105484808984
1728,professor,0.4987345784379547,0.5012654215620452
1734,technician,0.5832251042752481,0.4167748957247519
1763,salesperson,0.4518699449643886,0.5481300550356114
1783,lawyer,0.3810049447605924,0.6189950552394077
1813,farmer,0.154120388224309,0.8458796117756909
1819,veterinarian,0.5789228170150533,0.4210771829849467
1825,electrician,0.0246873830327568,0.9753126169672433
1826,attendant,0.8018340392439668,0.1981659607560332
1844,janitor,0.5459028154498081,0.4540971845501918
1854,sailor,0.0535911156524778,0.946408884347522
1872,weaver,0.556784930504755,0.4432150694952451
1994,musician,0.6294740668406767,0.3705259331593232
2087,mailperson,0.2944102351000466,0.7055897648999534
2091,waitstaff,0.7129759119758656,0.2870240880241344
2114,geologist,0.2995250773548248,0.7004749226451752
2122,setter,0.0240413614821197,0.9759586385178802
2136,psychologist,0.719238853360762,0.2807611466392379
2159,lumberjack,0.0557943777992842,0.9442056222007156
2190,designer,0.5608229325783894,0.4391770674216105
2208,instructor,0.4987345784379547,0.5012654215620452
2329,pharmacist,0.5538617946598969,0.446138205340103
2373,plasterer,0.0084439672003123,0.9915560327996876
2427,judge,0.3810049447605924,0.6189950552394077
2453,toolmaker,0.0240413614821197,0.9759586385178802
2525,sheriff,0.2780916124278521,0.7219083875721478
2530,librarian,0.8558435281916241,0.1441564718083758
2560,surgeon,0.3493503167033866,0.6506496832966133
2587,scientist,0.4334299220254201,0.5665700779745799
2588,jeweler,0.2458944518372087,0.7541055481627912
2600,compositor,0.4374859923798546,0.5625140076201454
2625,engineer,0.2044619040017397,0.7955380959982602
2628,carpenter,0.0188408210445971,0.9811591789554028
2638,artist,0.4690103730331602,0.5309896269668398
2650,soldier,0.150862814261507,0.849137185738493
2709,accountant,0.6158499183251659,0.3841500816748341
2744,clergy,0.3263810347831479,0.673618965216852
2870,painter,0.1385766497161487,0.8614233502838513
2893,shoemaker,0.0506001191865762,0.9493998808134236
2938,plumber,0.015894432317444,0.984105567682556
2946,mason,0.0100140823032389,0.989985917696761
2949,cook,0.4928029484471332,0.5071970515528668
2983,draftsperson,0.1843687161536742,0.8156312838463257
3023,newsperson,0.5889933387287555,0.4110066612712444
3047,pilot,0.0552064096172346,0.9447935903827652
3053,chiropractor,0.427438212555522,0.572561787444478
3063,administrator,0.5096680973408314,0.4903319026591686
3096,dentist,0.2966903139470427,0.7033096860529572
3108,fireperson,0.0647092477302518,0.9352907522697482
3123,police,0.1692199877426519,0.830780012257348
3189,gardener,0.0710980434131558,0.9289019565868442
3211,driver,0.1279686755259992,0.8720313244740008
3243,housekeeper,0.7433524139348602,0.2566475860651398
3265,guard,0.2547557429028732,0.7452442570971267
3276,welder,0.0523894428090887,0.9476105571909113
